"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500831	5	oppress	しいたげる	to treat people in a cruel and unfair way	The ruler tried to oppress the people.	その支配者は人々をしいたげようとした。	verb	7	2	""[""""しいたげる"""",""""助ける"""",""""招く"""",""""ほめる"""",""""導く""""]""	""[""""oppress"""",""""help"""",""""invite"""",""""praise"""",""""lead""""]""	""[""""oppress"""",""""express"""",""""address"""",""""impress"""",""""approach""""]""	[]	""[{""""word"""":""""free"""",""""note"""":""""自由にする""""},{""""word"""":""""protect"""",""""note"""":""""守る側の語""""}]"""
500832	5	retain	保つ	to keep something and not lose it	This bottle can retain heat for hours.	このびんは何時間も熱を保つことができる。	verb	6	3	""[""""保つ"""",""""失う"""",""""集める"""",""""運ぶ"""",""""広げる""""]""	""[""""retain"""",""""lose"""",""""gather"""",""""carry"""",""""spread""""]""	""[""""retain"""",""""remain"""",""""return"""",""""repair"""",""""relate""""]""	""[{""""word"""":""""keep"""",""""note"""":""""最も基本的な類義語""""},{""""word"""":""""hold"""",""""note"""":""""状態を保つ感じ""""}]""	""[{""""word"""":""""lose"""",""""note"""":""""失う""""},{""""word"""":""""release"""",""""note"""":""""手放す""""}]"""
500833	5	guardian	保護者	a person who takes care of and protects someone	Her guardian came to the school meeting.	彼女の保護者が学校の面談に来ました。	noun	5	3	""[""""保護者"""",""""先生"""",""""医者"""",""""店員"""",""""案内人""""]""	""[""""guardian"""",""""teacher"""",""""doctor"""",""""clerk"""",""""guide""""]""	""[""""guardian"""",""""garden"""",""""garlic"""",""""guitar"""",""""guide""""]""	""[{""""word"""":""""protector"""",""""note"""":""""守る人という意味で近い""""}]""	[]"
500834	5	maintenance	維持	the work of keeping something in good condition	The road is closed for maintenance today.	その道路は今日、維持作業のため通行止めです。	noun	6	3	""[""""維持"""",""""修理"""",""""建設"""",""""発見"""",""""配達""""]""	""[""""maintenance"""",""""repair"""",""""construction"""",""""discovery"""",""""delivery""""]""	""[""""maintenance"""",""""mainly"""",""""mountain"""",""""movement"""",""""management""""]""	""[{""""word"""":""""upkeep"""",""""note"""":""""ややくだけた語で、維持管理""""}]""	[]"
500835	5	conservative	保守的な	not wanting big changes; traditional	My grandfather is conservative about fashion.	私の祖父は服装について保守的です。	adjective	6	3	""[""""保守的な"""",""""積極的な"""",""""現代的な"""",""""陽気な"""",""""正直な""""]""	""[""""conservative"""",""""active"""",""""modern"""",""""cheerful"""",""""honest""""]""	""[""""conservative"""",""""conversation"""",""""consider"""",""""concert"""",""""condition""""]""	""[{""""word"""":""""traditional"""",""""note"""":""""伝統を重んじる意味で近い""""}]""	""[{""""word"""":""""modern"""",""""note"""":""""新しい考え方を表すことが多い""""}]"""
500836	5	exclusion	排除	the act of keeping someone or something out	The rule led to the exclusion of some students.	その規則は一部の生徒の排除につながった。	noun	5	2	""[""""排除"""",""""保護"""",""""保存"""",""""参加"""",""""許可""""]""	""[""""exclusion"""",""""protection"""",""""preservation"""",""""participation"""",""""permission""""]""	""[""""exclusion"""",""""excuse"""",""""explosion"""",""""expression"""",""""extension""""]""	""[{""""word"""":""""removal"""",""""note"""":""""取り除くことの意味で近い""""}]""	""[{""""word"""":""""inclusion"""",""""note"""":""""中に含めること""""}]"""
500837	5	protection	保護	keeping someone or something safe	This coat gives protection from the cold.	このコートは寒さから身を守ってくれる。	noun	4	4	""[""""保護"""",""""排除"""",""""保存"""",""""攻撃"""",""""破壊""""]""	""[""""protection"""",""""exclusion"""",""""preservation"""",""""attack"""",""""destruction""""]""	""[""""protection"""",""""production"""",""""project"""",""""practice"""",""""process""""]""	""[{""""word"""":""""defense"""",""""note"""":""""守ることという意味で近い""""}]""	""[{""""word"""":""""attack"""",""""note"""":""""攻撃すること""""},{""""word"""":""""harm"""",""""note"""":""""害を与えること""""}]"""
500838	5	preservation	保存	the act of keeping something in good condition	The museum works for the preservation of old art.	その美術館は古い芸術作品の保存に取り組んでいる。	noun	5	2	""[""""保存"""",""""保護"""",""""排除"""",""""破壊"""",""""消費""""]""	""[""""preservation"""",""""protection"""",""""exclusion"""",""""destruction"""",""""consumption""""]""	""[""""preservation"""",""""presentation"""",""""preparation"""",""""reservation"""",""""celebration""""]""	""[{""""word"""":""""conservation"""",""""note"""":""""自然や文化財の保存でよく使う""""}]""	""[{""""word"""":""""destruction"""",""""note"""":""""壊すこと""""}]"""
500839	5	storage	保管	the keeping of things in a safe place	We need more storage for these boxes.	これらの箱を保管するために、もっと場所が必要です。	noun	5	3	""[""""保管"""",""""輸送"""",""""販売"""",""""修理"""",""""配達""""]""	""[""""storage"""",""""delivery"""",""""repair"""",""""sale"""",""""transport""""]""	""[""""storage"""",""""shortage"""",""""story"""",""""stage"""",""""stomach""""]""	""[{""""word"""":""""keeping"""",""""note"""":""""物をしまっておくこと""""},{""""word"""":""""store"""",""""note"""":""""動詞では「保管する」""""}]""	[]"
500840	5	slaughter	虐殺	the killing of many people or animals in a cruel way	The movie showed the slaughter of many animals.	その映画は多くの動物の虐殺を映していた。	noun	7	2	""[""""虐殺"""",""""救助"""",""""保護"""",""""治療"""",""""飼育""""]""	""[""""slaughter"""",""""rescue"""",""""protect"""",""""treat"""",""""raise""""]""	""[""""slaughter"""",""""laughter"""",""""daughter"""",""""water"""",""""starter""""]""	""[{""""word"""":""""massacre"""",""""note"""":""""より強い語だが近い意味""""}]""	[]"
500841	5	suicide	自殺	the act of killing yourself	The article was about teenage suicide.	その記事は10代の自殺についてだった。	noun	6	2	""[""""自殺"""",""""事故"""",""""病気"""",""""けが"""",""""失業""""]""	""[""""suicide"""",""""accident"""",""""disease"""",""""injury"""",""""unemployment""""]""	""[""""suicide"""",""""sunlight"""",""""suitcase"""",""""student"""",""""surprise""""]""	[]	[]"
500842	5	hospitality	もてなし	friendly and generous treatment of guests	We were touched by their hospitality.	私たちは彼らのもてなしに感動した。	noun	5	3	""[""""もてなし"""",""""親切"""",""""礼儀"""",""""勇気"""",""""努力""""]""	""[""""hospitality"""",""""kindness"""",""""politeness"""",""""courage"""",""""effort""""]""	""[""""hospitality"""",""""possibility"""",""""responsibility"""",""""hostel"""",""""holiday""""]""	""[{""""word"""":""""kindness"""",""""note"""":""""広い意味の親切""""},{""""word"""":""""welcome"""",""""note"""":""""客を温かく迎えること""""}]""	[]"
500843	5	hospitable	親切な	kind and welcoming to guests	The people there were very hospitable.	そこの人々はとても親切だった。	adjective	5	3	""[""""親切な"""",""""失礼な"""",""""静かな"""",""""正直な"""",""""陽気な""""]""	""[""""hospitable"""",""""rude"""",""""quiet"""",""""honest"""",""""cheerful""""]""	""[""""hospitable"""",""""hospital"""",""""possible"""",""""portable"""",""""positive""""]""	""[{""""word"""":""""welcoming"""",""""note"""":""""温かく迎える感じ""""},{""""word"""":""""kind"""",""""note"""":""""より広い意味の親切な""""}]""	""[{""""word"""":""""rude"""",""""note"""":""""失礼な""""}]"""
500844	5	considerate	思いやりのある	careful not to hurt or trouble others	It was considerate of you to help her.	彼女を手伝ってくれて、あなたは思いやりがあった。	adjective	5	3	""[""""思いやりのある"""",""""不注意な"""",""""正直な"""",""""勇敢な"""",""""活発な""""]""	""[""""considerate"""",""""careless"""",""""honest"""",""""brave"""",""""active""""]""	""[""""considerate"""",""""confident"""",""""constant"""",""""concert"""",""""condition""""]""	""[{""""word"""":""""thoughtful"""",""""note"""":""""人への気づかいがある""""},{""""word"""":""""kind"""",""""note"""":""""より広い意味の親切な""""}]""	""[{""""word"""":""""careless"""",""""note"""":""""気づかいがない""""},{""""word"""":""""selfish"""",""""note"""":""""自分勝手な""""}]"""
500845	5	tender	やさしい	kind and gentle	She gave the baby a tender smile.	彼女は赤ちゃんにやさしいほほえみを向けた。	adjective	5	3	""[""""やさしい"""",""""厳しい"""",""""勇敢な"""",""""静かな"""",""""正直な""""]""	""[""""tender"""",""""strict"""",""""brave"""",""""quiet"""",""""honest""""]""	""[""""tender"""",""""sender"""",""""thunder"""",""""tennis"""",""""ladder""""]""	""[{""""word"""":""""gentle"""",""""note"""":""""より一般的な『やさしい』""""}]""	""[{""""word"""":""""harsh"""",""""note"""":""""きびしく思いやりがない""""}]"""
500846	5	overthrow	打倒する	to remove a government or leader by force	The rebels tried to overthrow the king.	反乱軍は王を打倒しようとした。	verb	6	2	""[""""打倒する"""",""""支持する"""",""""訪ねる"""",""""建てる"""",""""守る""""]""	""[""""overthrow"""",""""support"""",""""visit"""",""""build"""",""""protect""""]""	""[""""overthrow"""",""""overflow"""",""""overlook"""",""""undertow"""",""""throw""""]""	[]	""[{""""word"""":""""support"""",""""note"""":""""権力や立場を支える""""}]"""
500847	5	ignorant	無知な	not knowing much about something	He is ignorant of the local rules.	彼はその土地の規則をよく知らない。	adjective	5	3	""[""""無知な"""",""""有名な"""",""""慎重な"""",""""活発な"""",""""公平な""""]""	""[""""ignorant"""",""""famous"""",""""careful"""",""""active"""",""""fair""""]""	""[""""ignorant"""",""""elegant"""",""""immigrant"""",""""important"""",""""different""""]""	""[{""""word"""":""""unaware"""",""""note"""":""""気づいていない意味で近い""""}]""	""[{""""word"""":""""knowledgeable"""",""""note"""":""""よく知っている""""}]"""
500848	5	be acquainted with	よく知っている	to know someone or something a little or fairly well	I am acquainted with his family.	私は彼の家族をよく知っています。	verb	5	2	""[""""よく知っている"""",""""忘れている"""",""""探している"""",""""信じている"""",""""待っている""""]""	""[""""be acquainted with"""",""""be surprised at"""",""""be interested in"""",""""be worried about"""",""""be proud of""""]""	""[""""be acquainted with"""",""""be connected with"""",""""be crowded with"""",""""be careful with"""",""""be covered with""""]""	""[{""""word"""":""""know"""",""""note"""":""""より基本的で広い意味""""}]""	[]"
500849	5	familiarity	親しみ	a feeling of knowing something well	Her familiarity with the town helped us.	その町への彼女の親しみが私たちの助けになりました。	noun	5	2	""[""""親しみ"""",""""驚き"""",""""怒り"""",""""不安"""",""""希望""""]""	""[""""familiarity"""",""""curiosity"""",""""kindness"""",""""sadness"""",""""weakness""""]""	""[""""familiarity"""",""""similarity"""",""""popularity"""",""""ability"""",""""family""""]""	[]	[]"
500850	5	understanding	理解	knowledge of the meaning of something	Reading books improves your understanding.	本を読むことはあなたの理解を深めます。	noun	4	4	""[""""理解"""",""""誤解"""",""""経験"""",""""意見"""",""""記憶""""]""	""[""""understanding"""",""""knowledge"""",""""memory"""",""""opinion"""",""""effort""""]""	""[""""understanding"""",""""understand"""",""""outstanding"""",""""wondering"""",""""thundering""""]""	""[{""""word"""":""""knowledge"""",""""note"""":""""知っている内容を表すことが多い""""}]""	""[{""""word"""":""""misunderstanding"""",""""note"""":""""意味を取り違えること""""}]"""
500851	5	awareness	認識	knowing that something exists or is important	The campaign raised awareness of road safety.	その運動は道路の安全への認識を高めた。	noun	5	3	""[""""認識"""",""""知恵"""",""""勇気"""",""""責任"""",""""努力""""]""	""[""""awareness"""",""""wisdom"""",""""courage"""",""""responsibility"""",""""effort""""]""	""[""""awareness"""",""""a witness"""",""""a weakness"""",""""a warmness"""",""""a business""""]""	""[{""""word"""":""""recognition"""",""""note"""":""""ややかたい語""""}]""	[]"
500852	5	wisdom	知恵	the ability to make good decisions from knowledge and experience	Her grandmother shared wisdom with the family.	彼女の祖母は家族に知恵を分けてくれた。	noun	5	3	""[""""知恵"""",""""認識"""",""""勇気"""",""""忍耐"""",""""自信""""]""	""[""""wisdom"""",""""awareness"""",""""courage"""",""""patience"""",""""confidence""""]""	""[""""wisdom"""",""""window"""",""""kingdom"""",""""freedom"""",""""visitor""""]""	[]	[]"
500853	5	be familiar to	〜によく知られている	to be well known to someone	This song is familiar to many students.	この歌は多くの生徒によく知られている。	verb	5	3	""[""""〜によく知られている"""",""""〜に役立つ"""",""""〜に似ている"""",""""〜でいっぱいである"""",""""〜に興味がある""""]""	""[""""be familiar to"""",""""be useful to"""",""""be similar to"""",""""be full of"""",""""be interested in""""]""	""[""""be familiar to"""",""""be similar to"""",""""be popular with"""",""""be careful of"""",""""be ready for""""]""	""[{""""word"""":""""be known to"""",""""note"""":""""意味が近い基本表現""""}]""	[]"
